id,name,process_code,description,process_description
data/known_urgent/695320-2023,Herstel brandschade,neg-wo-call,Op 28 januari 2023 is er een grote brand geweest in de parkeergarage van sportzaal Koningshof Het Baken 2 te Pijnacker. De bovenliggende sportvoorziening is door roetschade onbruikbaar geworden. € 245.000,
data/known_urgent/330906-2024,Aankondiging van vrijwillige transparantie hotelopvang vluchtelingen,neg-wo-call,"Voorwerp van de opdracht
Op basis van de Regeling van de Minister van Justitie en Veiligheid en de Staatssecretaris van Justitie en Veiligheid inzake “Regels voor de huisvesting en verzorging van ontheemden als gevolg van het oorlogsgeweld in Oekraïne’’, wordt op diverse locaties binnen de gemeente voorzien in de tijdelijke opvang van Oekraïense vluchtelingen. 

Onderwerp van deze publicatie zijn de locaties Hotel Rooland in Arcen (huisvesting ca 114 vluchtelingen) en Hotel Woensdag in Velden (huisvesting ca 31 vluchtelingen). In 2022 zijn deze twee locaties onderhands gecontracteerd op basis van dwingende spoed.
Van deze twee locaties wil de gemeente Venlo aanvullend gebruik maken tot en met het einde van 2023. 
Vanaf begin 2024 beoogd de gemeente structurele opvang elders te kunnen verzorgen.

Voor nadere informatie over deze aankondiging kunt u contact opnemen met onze beleidsadviseur vastgoed, mevrouw Marian Evers, telefoon 0634300770 Onderwerp van deze publicatie zijn de locaties Hotel Rooland in Arcen (huisvesting ca 114 vluchtelingen) en Hotel Woensdag in Velden (huisvesting ca 31 vluchtelingen). In 2022 zijn deze twee locaties onderhands gecontracteerd op basis van dwingende spoed.
Van deze twee locaties wil de gemeente Venlo aanvullend gebruik maken tot en met het einde van 2023. 
Vanaf begin 2024 beoogd de gemeente structurele opvang elders te kunnen verzorgen.","Op basis van de Regeling van de Minister van Justitie en Veiligheid en de Staatssecretaris van Justitie en Veiligheid inzake “Regels voor de huisvesting en verzorging van ontheemden als gevolg van het oorlogsgeweld in Oekraïne’’, wordt op diverse locaties binnen de gemeente voorzien in de tijdelijke opvang van Oekraïense vluchtelingen. Onderwerp van deze publicatie zijn de locaties Hotel Rooland in Arcen (huisvesting ca 114 vluchtelingen) en Hotel Woensdag in Velden (huisvesting ca 31 vluchtelingen). In 2022 zijn deze twee locaties onderhands gecontracteerd op basis van dwingende spoed. Van deze twee locaties wil de gemeente Venlo aanvullend gebruik maken tot en met het einde van 2023. Vanaf begin 2024 beoogd de gemeente structurele opvang elders te kunnen verzorgen."
data/known_urgent/135744-2024,Schoonmaak noodopvang,neg-wo-call,Schoonmaak noodopvang Dagelijkse schoonmaak noodopvang asielzoekers 150 personen,
data/known_urgent/707334-2023,Contractwijziging  Landelijk - Het meten van de effecten van  hogesnelheidspassage langs station Kampen Zuid,neg-wo-call,Zie bijgevoegd document Zie bijgevoegd document,
data/known_urgent/516086-2024,Units tijdelijke gemeentelijke opvanglocatie (TGO)  Eindhovenseweg 50,open,De gemeente Eindhoven gaat op zeer korte termijn een tijdelijke gemeentelijke opvanglocatie (TGO) realiseren voor 300 asielzoekers/statushouders op de Eindhovenseweg 50 voor de duur van tenminste vijf jaar. Tot dat doel wil zij tijdelijke units volledig ingericht kopen en geleverd/aangesloten krijgen op locatie volgen een eigen technisch Programma van Eisen. De geraamde waarde van de opdracht bedraagt naar verwachting €6.000.000 inclusief herzieningsclausule.,"Opdrachtgever volgt, gelet op de aard en de geraamde omvang van de opdracht, een versnelde Europees openbare aanbestedingsprocedure conform de Aanbestedingswet. 

Het Centraal Orgaan opvang asielzoekers (COA) heeft acuut en langdurig behoefte aan extra opvangcapaciteit vanwege een plotselinge toename in het aantal mensen dat opvang nodig heeft. De aanbestedende dienst is een bestuursovereenkomst met het COA aangegaan om op korte termijn invulling te geven aan deze acute behoefte, middels de realisatie en ter beschikking stellen van een TGO aan de Eindhovenseweg 50. 

Volgens de Europese richtlijn 2014/24/EU inzake overheidsopdrachten, artikel 27, lid 3, kunnen aanbestedende diensten een versnelde procedure toepassen bij dwingende spoed, veroorzaakt door gebeurtenissen die niet te voorzien waren door de aanbestedende dienst. De plotselinge toename in opvangcapaciteit bij het COA voldoet aan deze criteria van onvoorzienbaarheid en dwingende spoed.

Hoewel de procedure versneld wordt uitgevoerd, blijft de aanbestedende dient zich inzetten om een eerlijke en transparante aanbesteding te waarborgen. Alle potentiële marktpartijen krijgen een gelijke kans om hun inschrijvingen in te dienen, en de versnelde procedure zal in overeenstemming zijn met de principes van non-discriminatie en gelijke behandeling."
data/known_urgent/126686-2024,Catering,neg-wo-call,"Catering 150 personen, 182 dagen",
data/known_urgent/51481-2024,Inhuur Technisch en Ondersteunend Personeel Overbruggingsovereenkomst,neg-wo-call,"Het hoogheemraadschap van Rijnland en het hoogheemraadschap Schieland en de Krimpenerwaard (hierna: “Opdrachtgevers”) zijn voornemens om met de raamcontractanten voor de raamovereenkomsten “Inhuur van technisch en ondersteunend personeel” overbruggingsovereenkomsten te sluiten. De reden hiervoor is dat vanwege onvoorzienbare omstandigheden dwingende spoed is ontstaan bij tijdelijke overeenkomsten.
Er is in dit specifieke geval sprake van dwingende spoed, omdat Opdrachtgevers in de tussenliggende periode tussen de oude en de nieuw te sluiten raamovereenkomst wel technisch en ondersteunend personeel moeten inhuren voor de uitvoering van werkzaamheden in het kader van bedrijfsvoering en de wettelijke taak. In het bijzonder zou het grote gevolgen kunnen hebben voor de realisatie van projecten. De onvoorzienbare omstandigheid heeft zich voorgedaan dat Opdrachtgevers vertraging van (circa) twee maanden hebben opgelopen in verband met de aanbesteding (TenderNed nummer 438410) voor de inhuur van technisch en ondersteunend personeel. In het bijzonder is deze vertraging ontstaan door aanpassing van de perceelindeling. Daardoor sluiten de nieuw te sluiten raamovereenkomsten niet meer aan op de einddatum van de lopende raamovereenkomsten.

Opdrachtgevers doen een beroep op dwingende spoed (ex artikel 2.32 lid 1, sub c, Aanbestedingswet 2012) om tijdelijke overeenkomsten, ter overbrugging van de periode tussen het initiële einde van de raamovereenkomsten en de start van de nieuw te sluiten raamovereenkomsten, te sluiten.",
data/known_urgent/134227-2024,Bouw noodopvang,neg-wo-call,Bouw noodopvang 150 personen Noodopvang voor 150 personen,
data/known_urgent/269393-2024,Levering transport verpakkingen,open,"Aanleiding en achtergrond
Er zijn diverse behoeftes ontstaan voor het afnemen van verschillende soorten transport verpakkingen. In de tussentijd is de aanbesteding voor de raamovereenkomst van kunststof verpakkingen teruggetrokken. Om zo snel mogelijk te kunnen voldoen aan de behoeftes is er besloten om een aparte aanbesteding voor deze verschillende behoeftes op te starten.De levering van diverse soorten transport verpakkingen. De scope van deze opdracht bedraagt de levering van diverse soorten transport verpakkingen. Het gaat hierbij om de levering van:

- 6x  transportverpakking C-bogen inclusief opties (eventueel);
- 115x kunststof koffers mortieren inclusief opties (eventueel);
- kunststof koffers t.b.v. het verpakken van 1 MQ9 GCS Reaper inclusief opties (eventueel)*;
- 145x kunststof koffers t.b.v. laptops en defecte batterijen inclusief opties (eventueel);
- 161x kunststof koffers t.b.v. MAG 7.62 inclusief opties (eventueel);
- 198x kunststof koffers t.b.v. uitrusting KCT inclusief opties (eventueel).
**

* De aanbestedende dienst kan op voorhand niet meegeven hoeveel kunststof koffers benodigd zijn om de MQ9 GCS Reaper te verpakken. Het is aan de inschrijver om te bepalen in hoeveel kunststof koffers de MQ9 GCS Reaper verpakt dient te worden.

**Deze aanbesteding staat los van de (her)aanbesteding 'Raamovereenkomst kunststof koffers'. Wegens het terugtrekken van de aanbesteding 'Raamovereenkomst kunststof koffers'  met tendernummer 201890, deze opdrachten spoed hebben en er nog geen zicht is op wanneer de heraanbesteding van de raamovereenkomst kunststof koffers gaat plaatsvinden, is er besloten om voor deze behoeftes een aparte aanbesteding te doorlopen. 

De hierbij gebruikte procedure is de openbare procedure uit de Aanbestedingswet 2012.
De procedure verloopt volledig elektronisch via het online aanbestedingsplatform Mercell. Nadere informatie over het gebruik van Mercell leest u hier.

Aanbestedende dienst en opdrachtgever
De Aanbestedende dienst en opdrachtgever is de Koninklijke Landmacht. Het Materieellogistiek Commando Land (MatlogCo), onderdeel van de Koninklijke Landmacht is verantwoordelijk voor de instandhouding van het grondgebonden materieel van Defensie. Voor meer informatie over het Ministerie van Defensie is de website www.defensie.nl te raadplegen.
 
",
data/known_urgent/589895-2023,Huren locatie voor opvang ontheemden uit de Oekraïne,neg-wo-call,Huren hotel voor opvang ontheemden uit de Oekraïne. 75 opvangplaatsen,
